"Date","Price","Open","High","Low","Vol.","Change %"
"10/19/2022","399.05","406.20","406.95","397.30","8.65M","-1.29%"
"10/18/2022","404.25","401.00","406.70","400.70","14.22M","2.06%"
"10/17/2022","396.10","394.00","398.90","392.50","9.54M","-0.04%"
"10/14/2022","396.25","407.00","409.20","395.30","12.88M","-0.69%"
"10/13/2022","399.00","396.55","403.50","394.55","12.58M","0.62%"
"10/12/2022","396.55","394.55","398.20","391.10","14.29M","0.81%"
"10/11/2022","393.35","397.00","399.50","391.30","14.64M","-0.66%"
"10/10/2022","395.95","403.40","403.40","393.05","32.91M","-3.93%"
"10/07/2022","412.15","413.40","414.00","408.70","10.67M","-0.47%"
"10/06/2022","414.10","409.60","417.65","409.50","12.77M","1.52%"
"10/04/2022","407.90","406.00","408.95","402.90","12.76M","2.58%"
"10/03/2022","397.65","405.50","406.55","395.50","20.33M","-1.72%"
"09/30/2022","404.60","398.00","408.25","392.50","20.95M","0.58%"
"09/29/2022","402.25","411.00","413.25","399.60","20.73M","0.79%"
"09/28/2022","399.10","394.90","406.60","392.85","18.11M","0.08%"
"09/27/2022","398.80","403.90","404.00","390.35","21.93M","0.33%"
"09/26/2022","397.50","416.00","417.90","393.15","33.23M","-6.05%"
"09/23/2022","423.10","431.90","431.90","420.55","13.44M","-2.11%"
"09/22/2022","432.20","425.00","434.60","422.55","13.60M","1.06%"
"09/21/2022","427.65","433.95","436.00","425.50","10.83M","-1.52%"
"09/20/2022","434.25","430.60","443.35","430.60","17.56M","2.07%"
"09/19/2022","425.45","431.50","431.60","424.05","15.24M","-1.63%"
"09/16/2022","432.50","446.00","446.40","429.10","20.99M","-3.30%"
"09/15/2022","447.25","452.40","455.85","446.05","10.36M","-0.66%"
"09/14/2022","450.20","447.60","454.70","447.00","10.36M","-1.44%"
"09/13/2022","456.80","454.30","458.95","453.55","10.66M","1.29%"
"09/12/2022","451.00","447.70","453.00","447.00","8.96M","1.14%"
"09/09/2022","445.90","447.50","449.65","440.60","14.29M","0.84%"
"09/08/2022","442.20","452.45","452.55","440.00","19.34M","-0.82%"
"09/07/2022","445.85","453.20","456.50","443.65","20.76M","-2.60%"
"09/06/2022","457.75","462.70","463.70","456.60","9.81M","-0.27%"
"09/05/2022","459.00","459.75","463.95","457.00","9.38M","-0.60%"
"09/02/2022","461.75","470.85","471.80","460.15","10.81M","-1.10%"
"09/01/2022","466.90","462.50","474.40","462.15","13.39M","-0.89%"
"08/30/2022","471.10","458.65","472.40","457.10","14.42M","3.92%"
"08/29/2022","453.35","451.00","456.90","450.15","11.65M","-2.52%"
"08/26/2022","465.05","465.00","470.45","463.95","11.25M","1.27%"
"08/25/2022","459.20","466.00","468.80","457.40","11.26M","-0.86%"
"08/24/2022","463.20","459.00","464.90","457.70","12.21M","0.60%"
"08/23/2022","460.45","449.00","462.10","447.60","17.78M","1.29%"
"08/22/2022","454.60","468.50","468.95","452.55","15.05M","-3.48%"
"08/19/2022","471.00","486.75","488.10","468.10","16.64M","-2.85%"
"08/18/2022","484.80","484.00","486.80","479.25","12.07M","-0.12%"
"08/17/2022","485.40","490.90","494.40","484.20","15.95M","-0.91%"
"08/16/2022","489.85","479.60","491.40","478.20","16.80M","2.58%"
"08/12/2022","477.55","475.75","481.45","470.00","13.48M","0.19%"
"08/11/2022","476.65","482.55","485.00","475.60","12.78M","0.23%"
"08/10/2022","475.55","470.00","477.20","463.35","13.36M","1.56%"
"08/08/2022","468.25","466.00","471.90","464.45","10.56M","0.64%"
"08/05/2022","465.25","468.90","472.90","464.00","11.92M","-0.78%"
"08/04/2022","468.90","473.15","473.95","456.45","18.54M","0.24%"
"08/03/2022","467.80","475.00","476.25","459.60","19.13M","-1.77%"
"08/02/2022","476.25","478.90","479.90","469.25","19.07M","-0.62%"
"08/01/2022","479.20","451.95","481.00","451.05","43.08M","6.58%"
"07/29/2022","449.60","445.15","452.70","445.15","16.00M","1.66%"
"07/28/2022","442.25","440.25","449.25","427.40","36.38M","-0.41%"
"07/27/2022","444.05","441.15","445.00","436.10","10.08M","0.66%"
"07/26/2022","441.15","448.70","448.70","439.75","11.56M","-1.87%"
"07/25/2022","449.55","456.00","457.60","446.30","12.51M","-1.18%"
"07/22/2022","454.90","456.60","459.95","452.30","10.34M","0.01%"
"07/21/2022","454.85","452.95","455.50","450.10","10.93M","0.31%"
"07/20/2022","453.45","454.35","460.75","451.75","17.15M","0.98%"
"07/19/2022","449.05","446.75","451.85","444.45","11.55M","-0.41%"
"07/18/2022","450.90","443.95","453.80","443.20","21.19M","2.43%"
"07/15/2022","440.20","430.65","441.75","429.70","15.77M","2.84%"
"07/14/2022","428.05","428.00","431.25","423.30","10.74M","0.22%"
"07/13/2022","427.10","432.70","435.85","425.65","10.18M","-0.80%"
"07/12/2022","430.55","433.00","435.00","428.15","9.52M","-1.49%"
"07/11/2022","437.05","438.05","441.20","433.45","12.62M","-1.02%"
"07/08/2022","441.55","436.25","443.85","429.30","23.73M","2.48%"
"07/07/2022","430.85","419.90","432.95","419.30","17.62M","3.48%"
"07/06/2022","416.35","414.00","417.30","410.65","12.20M","1.06%"
"07/05/2022","412.00","415.00","418.80","410.20","16.77M","0.87%"
"07/04/2022","408.45","411.55","414.90","405.00","11.53M","-1.03%"
"07/01/2022","412.70","410.65","414.60","402.30","14.73M","0.22%"
"06/30/2022","411.80","418.30","424.00","410.00","20.12M","-1.24%"
"06/29/2022","416.95","412.05","419.90","411.55","13.10M","-0.04%"
"06/28/2022","417.10","411.30","418.20","409.15","13.24M","0.63%"
"06/27/2022","414.50","417.55","419.45","412.35","12.02M","1.27%"
"06/24/2022","409.30","410.00","412.85","406.15","14.81M","0.52%"
"06/23/2022","407.20","396.30","409.90","394.55","26.51M","3.59%"
"06/22/2022","393.10","396.40","397.00","390.50","12.43M","-1.13%"
"06/21/2022","397.60","389.00","399.00","387.00","14.74M","3.89%"
"06/20/2022","382.70","390.55","392.95","376.65","17.05M","-1.61%"
"06/17/2022","388.95","387.95","394.45","382.65","24.82M","-1.02%"
"06/16/2022","392.95","420.00","420.90","390.10","22.26M","-5.11%"
"06/15/2022","414.10","410.00","416.40","407.45","15.19M","2.21%"
"06/14/2022","405.15","403.00","411.85","397.70","19.63M","-0.38%"
"06/13/2022","406.70","414.90","418.15","405.60","17.44M","-4.99%"
"06/10/2022","428.05","423.00","428.85","422.00","11.91M","-0.11%"
"06/09/2022","428.50","431.90","435.65","426.10","13.04M","-1.64%"
"06/08/2022","435.65","438.70","440.40","432.00","12.84M","-0.05%"
"06/07/2022","435.85","432.50","438.20","429.10","11.15M","0.81%"
"06/06/2022","432.35","427.90","433.95","424.60","11.90M","0.10%"
"06/03/2022","431.90","444.90","445.05","430.50","12.78M","-1.65%"
"06/02/2022","439.15","445.00","445.60","435.65","12.74M","-1.23%"
"06/01/2022","444.60","445.10","446.00","439.60","11.93M","0.24%"
"05/31/2022","443.55","443.95","449.50","440.40","22.31M","0.26%"
"05/30/2022","442.40","437.00","445.20","436.00","18.50M","2.98%"
"05/27/2022","429.60","426.05","433.25","425.20","16.87M","2.13%"
"05/26/2022","420.65","422.00","422.65","405.00","17.71M","0.88%"
"05/25/2022","417.00","428.45","429.00","413.45","13.54M","-2.06%"
"05/24/2022","425.75","423.90","427.50","416.00","14.53M","1.02%"
"05/23/2022","421.45","421.65","431.15","419.55","16.35M","0.83%"
"05/20/2022","418.00","410.00","421.40","410.00","23.50M","4.85%"
"05/19/2022","398.65","400.00","406.80","396.20","17.71M","-3.97%"
"05/18/2022","415.15","424.00","427.35","414.05","20.49M","-2.12%"
"05/17/2022","424.15","408.40","425.65","405.00","24.65M","4.64%"
"05/16/2022","405.35","411.90","411.90","396.25","24.94M","0.26%"
"05/13/2022","404.30","387.00","419.35","387.00","71.43M","8.60%"
"05/12/2022","372.30","382.00","384.65","366.20","33.51M","-4.08%"
"05/11/2022","388.15","396.00","397.00","377.55","29.22M","-0.92%"
"05/10/2022","391.75","400.00","408.50","389.60","16.54M","-3.02%"
"05/09/2022","403.95","407.15","407.40","395.00","18.08M","-1.13%"
"05/06/2022","408.55","418.85","420.20","407.00","25.14M","-4.16%"
"05/05/2022","426.30","429.00","434.00","423.70","12.24M","0.66%"
"05/04/2022","423.50","437.95","440.60","420.70","14.93M","-2.16%"
"05/02/2022","432.85","437.95","442.95","428.50","18.95M","-1.09%"
"04/29/2022","437.60","440.20","447.75","436.00","21.99M","0.36%"
"04/28/2022","436.05","434.80","439.20","430.80","13.88M","1.35%"
"04/27/2022","430.25","429.25","432.95","425.10","13.70M","-1.07%"
"04/26/2022","434.90","433.90","437.45","431.60","13.58M","2.29%"
"04/25/2022","425.15","432.75","436.00","423.15","14.73M","-3.12%"
"04/22/2022","438.85","442.05","447.25","438.00","14.36M","-2.05%"
"04/21/2022","448.05","444.50","449.35","441.05","14.12M","1.70%"
"04/20/2022","440.55","431.00","441.70","428.25","19.64M","3.67%"
"04/19/2022","424.95","436.75","440.25","417.00","12.67M","-2.04%"
"04/18/2022","433.80","430.00","436.35","423.65","15.30M","0.64%"
"04/13/2022","431.05","441.80","442.85","430.10","16.82M","-1.65%"
"04/12/2022","438.30","450.80","450.80","435.00","22.70M","-3.04%"
"04/11/2022","452.05","457.00","458.90","451.00","14.34M","0.00%"
"04/08/2022","452.05","450.00","456.25","449.70","16.32M","0.57%"
"04/07/2022","449.50","456.50","459.10","448.50","19.95M","-1.46%"
"04/06/2022","456.15","455.90","462.70","452.60","24.97M","-0.41%"
"04/05/2022","458.05","450.00","461.90","448.30","28.53M","2.53%"
"04/04/2022","446.75","444.40","449.50","441.30","18.66M","1.27%"
"04/01/2022","441.15","434.00","442.25","430.85","19.38M","1.71%"
"03/31/2022","433.75","436.00","438.30","432.60","14.25M","-0.44%"
"03/30/2022","435.65","438.45","442.50","434.25","18.15M","0.45%"
"03/29/2022","433.70","436.00","439.35","431.40","18.71M","0.23%"
"03/28/2022","432.70","432.00","434.95","426.50","16.76M","0.14%"
"03/25/2022","432.10","437.00","437.00","427.65","15.10M","-0.25%"
"03/24/2022","433.20","430.00","435.40","427.55","17.11M","-0.60%"
"03/23/2022","435.80","443.50","447.00","434.60","25.47M","-1.03%"
"03/22/2022","440.35","428.10","441.45","421.20","30.44M","2.90%"
"03/21/2022","427.95","435.50","436.30","427.10","18.27M","-1.35%"
"03/17/2022","433.80","432.00","435.70","429.55","26.70M","2.09%"
