"Date","Price","Open","High","Low","Vol.","Change %"
"05/27/2021","318.60","317.05","323.45","316.55","49.48M","0.98%"
"05/26/2021","315.50","316.10","320.00","314.80","28.64M","0.08%"
"05/25/2021","315.25","315.55","319.00","313.85","37.38M","1.09%"
"05/24/2021","311.85","314.75","315.80","310.20","31.96M","-0.40%"
"05/21/2021","313.10","312.00","315.70","309.50","40.36M","1.75%"
"05/20/2021","307.70","316.00","316.60","306.10","54.04M","-2.15%"
"05/19/2021","314.45","313.00","322.95","312.10","119.41M","-5.41%"
"05/18/2021","332.45","325.95","336.65","324.00","86.15M","3.53%"
"05/17/2021","321.10","315.40","323.85","311.40","51.16M","2.83%"
"05/14/2021","312.25","329.35","329.50","310.00","81.31M","-4.22%"
"05/12/2021","326.00","318.25","334.75","316.25","111.58M","3.31%"
"05/11/2021","315.55","309.55","320.75","308.10","58.47M","0.22%"
"05/10/2021","314.85","304.50","315.70","304.00","53.26M","4.00%"
"05/07/2021","302.75","303.00","305.95","300.50","41.59M","0.50%"
"05/06/2021","301.25","291.50","302.00","290.30","45.03M","3.34%"
"05/05/2021","291.50","293.50","293.90","288.50","29.35M","0.71%"
"05/04/2021","289.45","296.35","299.75","288.05","38.64M","-1.21%"
"05/03/2021","293.00","289.30","294.75","285.00","35.38M","-0.29%"
"04/30/2021","293.85","298.20","301.30","292.55","36.12M","-2.67%"
"04/29/2021","301.90","308.90","310.00","301.25","36.65M","-1.31%"
"04/28/2021","305.90","303.50","309.50","303.00","44.67M","1.46%"
"04/27/2021","301.50","295.70","302.50","295.10","35.04M","2.06%"
"04/26/2021","295.40","297.00","299.00","294.60","30.58M","0.48%"
"04/23/2021","294.00","291.00","300.00","290.50","58.16M","-0.19%"
"04/22/2021","294.55","294.00","302.50","292.20","61.02M","-1.17%"
"04/20/2021","298.05","307.70","308.15","294.20","56.74M","-1.11%"
"04/19/2021","301.40","295.00","304.50","292.80","65.79M","-2.77%"
"04/16/2021","310.00","302.00","315.00","300.15","75.33M","2.14%"
"04/15/2021","303.50","303.00","307.55","296.50","75.26M","0.21%"
"04/13/2021","302.85","287.25","304.55","280.55","116.87M","5.69%"
"04/12/2021","286.55","307.85","307.85","282.90","105.34M","-9.95%"
"04/09/2021","318.20","313.20","325.00","312.50","75.46M","1.35%"
"04/08/2021","313.95","307.90","319.80","307.50","62.46M","2.00%"
"04/07/2021","307.80","306.75","310.65","305.10","39.07M","0.02%"
"04/06/2021","307.75","306.15","313.80","304.80","63.03M","0.89%"
"04/05/2021","305.05","306.80","311.70","297.20","66.18M","-0.88%"
"04/01/2021","307.75","306.75","309.85","303.05","44.09M","1.97%"
"03/31/2021","301.80","299.00","307.50","297.50","58.57M","1.60%"
"03/30/2021","297.05","300.50","301.30","292.70","45.26M","0.22%"
"03/26/2021","296.40","290.50","301.40","290.50","80.92M","3.80%"
"03/25/2021","285.55","294.00","294.00","282.25","84.53M","-3.02%"
"03/24/2021","294.45","303.55","305.00","293.20","61.52M","-4.21%"
"03/23/2021","307.40","305.00","312.25","304.00","60.24M","1.44%"
"03/22/2021","303.05","306.45","307.50","300.10","56.39M","-1.91%"
"03/19/2021","308.95","303.50","311.00","290.20","109.93M","0.64%"
"03/18/2021","307.00","311.00","316.60","299.75","73.73M","0.39%"
"03/17/2021","305.80","318.60","320.00","304.00","47.26M","-4.42%"
"03/16/2021","319.95","321.00","321.90","315.10","39.27M","0.44%"
"03/15/2021","318.55","320.00","320.40","310.05","45.08M","0.31%"
"03/12/2021","317.55","325.05","326.50","314.15","48.36M","-1.21%"
"03/10/2021","321.45","319.50","324.45","316.70","58.64M","1.98%"
"03/09/2021","315.20","325.00","328.35","309.60","74.70M","-1.88%"
"03/08/2021","321.25","331.75","331.75","318.80","81.93M","-1.20%"
"03/05/2021","325.15","333.00","337.85","319.70","86.74M","-4.14%"
"03/04/2021","339.20","339.00","345.40","337.30","59.86M","-2.67%"
"03/03/2021","348.50","348.65","357.00","346.50","92.01M","0.80%"
"03/02/2021","345.75","331.10","347.20","326.45","127.71M","5.32%"
"03/01/2021","328.30","330.00","331.85","322.70","61.19M","1.66%"
"02/26/2021","322.95","323.00","332.95","318.85","91.90M","-3.06%"
"02/25/2021","333.15","325.35","334.70","323.25","64.51M","3.58%"
"02/24/2021","321.65","325.00","330.00","316.50","50.82M","-0.73%"
"02/23/2021","324.00","308.50","328.90","308.50","133.31M","6.40%"
"02/22/2021","304.50","312.45","313.90","302.15","57.72M","-2.36%"
"02/19/2021","311.85","321.95","321.95","301.40","80.27M","-3.71%"
"02/18/2021","323.85","331.50","331.75","321.10","49.20M","-1.91%"
"02/17/2021","330.15","326.90","334.25","325.45","52.15M","0.29%"
"02/16/2021","329.20","335.45","337.90","327.50","65.94M","-1.24%"
"02/15/2021","333.35","329.90","335.80","324.00","78.68M","2.44%"
"02/12/2021","325.40","326.40","330.50","321.25","64.09M","0.12%"
"02/11/2021","325.00","326.45","331.35","323.40","55.26M","-1.19%"
"02/10/2021","328.90","326.00","332.65","319.50","93.47M","1.18%"
"02/09/2021","325.05","337.00","338.50","322.20","105.98M","-3.24%"
"02/08/2021","335.95","318.75","339.25","318.00","102.12M","6.35%"
"02/05/2021","315.90","327.60","330.00","312.60","103.51M","-3.14%"
"02/04/2021","326.15","329.00","334.50","322.45","121.03M","-1.47%"
"02/03/2021","331.00","339.20","341.90","326.20","224.19M","2.80%"
"02/02/2021","322.00","293.60","328.85","290.40","251.97M","15.16%"
"02/01/2021","279.60","269.75","282.00","255.35","165.66M","6.43%"
"01/29/2021","262.70","273.00","278.80","260.60","138.44M","-1.54%"
"01/28/2021","266.80","260.05","273.40","259.05","129.16M","-0.26%"
"01/27/2021","267.50","274.90","275.00","265.70","126.59M","-4.17%"
"01/25/2021","279.15","296.90","299.50","277.35","164.35M","-3.53%"
"01/22/2021","289.35","295.95","306.90","278.35","316.01M","-0.43%"
"01/21/2021","290.60","281.00","299.00","280.00","283.61M","5.71%"
"01/20/2021","274.90","260.00","277.50","258.85","205.15M","6.28%"
"01/19/2021","258.65","251.50","261.70","251.30","136.86M","5.16%"
"01/18/2021","245.95","261.65","262.45","241.15","173.38M","-5.51%"
"01/15/2021","260.30","246.00","264.65","242.60","250.04M","6.20%"
"01/14/2021","245.10","242.85","249.80","238.60","86.82M","1.03%"
"01/13/2021","242.60","242.90","248.80","238.40","164.65M","2.02%"
"01/12/2021","237.80","227.00","252.40","224.10","390.58M","7.77%"
"01/11/2021","220.65","199.90","225.40","199.65","182.48M","11.36%"
"01/08/2021","198.15","198.75","201.50","197.10","53.99M","0.71%"
"01/07/2021","196.75","197.00","200.35","195.10","66.02M","0.69%"
"01/06/2021","195.40","194.45","197.60","190.65","75.62M","1.14%"
"01/05/2021","193.20","187.10","193.90","185.05","75.75M","0.99%"
"01/04/2021","191.30","191.80","193.00","188.75","63.98M","2.57%"
"01/01/2021","186.50","184.95","187.00","184.50","27.33M","1.44%"
"12/31/2020","183.85","184.85","187.50","182.80","48.98M","-0.16%"
"12/30/2020","184.15","183.10","185.40","180.40","38.58M","0.38%"
"12/29/2020","183.45","187.90","188.45","181.10","71.32M","-1.56%"
"12/28/2020","186.35","179.85","187.40","179.00","98.01M","5.91%"
"12/24/2020","175.95","172.00","178.00","172.00","73.83M","3.99%"
"12/23/2020","169.20","165.00","169.70","163.40","56.93M","2.58%"
"12/22/2020","164.95","164.55","169.20","156.70","110.01M","0.24%"
"12/21/2020","164.55","176.00","177.55","162.50","75.58M","-8.86%"
"12/18/2020","180.55","180.90","181.50","176.65","46.07M","-0.63%"
"12/17/2020","181.70","184.00","184.00","180.65","34.10M","-0.47%"
"12/16/2020","182.55","181.00","183.80","180.10","51.26M","2.04%"
"12/15/2020","178.90","176.45","179.70","173.25","41.19M","0.70%"
"12/14/2020","177.65","181.00","181.50","176.70","33.19M","-0.67%"
"12/11/2020","178.85","177.95","181.45","176.50","43.07M","0.70%"
"12/10/2020","177.60","182.70","182.70","176.40","38.37M","-2.79%"
"12/09/2020","182.70","183.00","186.40","181.65","40.30M","0.50%"
"12/08/2020","181.80","184.95","185.70","178.95","42.14M","-0.95%"
"12/07/2020","183.55","184.45","186.45","182.70","29.80M","-0.33%"
"12/04/2020","184.15","186.50","188.80","182.20","48.00M","-0.38%"
"12/03/2020","184.85","185.00","186.00","183.25","33.33M","0.68%"
"12/02/2020","183.60","184.00","187.35","181.10","88.11M","2.14%"
"12/01/2020","179.75","182.35","182.40","178.10","48.88M","-0.33%"
"11/27/2020","180.35","174.65","183.85","174.65","125.93M","3.80%"
"11/26/2020","173.75","171.60","175.00","171.05","39.09M","1.34%"
"11/25/2020","171.45","175.00","176.80","169.25","54.37M","-0.35%"
"11/24/2020","172.05","171.85","175.50","171.10","47.70M","0.79%"
"11/23/2020","170.70","169.50","173.90","165.55","54.57M","0.95%"
"11/20/2020","169.10","170.05","171.55","165.55","66.94M","0.68%"
"11/19/2020","167.95","171.40","176.35","166.55","109.45M","-3.20%"
"11/18/2020","173.50","158.85","178.80","158.55","171.80M","9.81%"
"11/17/2020","158.00","152.50","159.35","152.20","82.64M","7.96%"
"11/13/2020","146.35","150.00","150.00","145.35","32.57M","-3.21%"
"11/12/2020","151.20","150.95","153.85","150.00","56.15M","0.17%"
"11/11/2020","150.95","146.50","151.50","145.65","78.58M","3.39%"
"11/10/2020","146.00","144.05","146.70","142.75","68.79M","3.55%"
"11/09/2020","141.00","140.60","141.50","138.70","40.28M","1.44%"
"11/06/2020","139.00","137.65","142.30","137.65","67.97M","0.98%"
"11/05/2020","137.65","137.00","138.00","136.00","38.93M","1.29%"
"11/04/2020","135.90","135.60","137.00","134.00","44.68M","1.34%"
"11/03/2020","134.10","135.00","137.40","133.55","52.07M","0.94%"
"11/02/2020","132.85","133.65","134.00","131.10","40.39M","0.15%"
"10/30/2020","132.65","133.20","134.50","130.30","51.13M","0.57%"
"10/29/2020","131.90","132.00","133.00","130.00","66.63M","-2.15%"
"10/28/2020","134.80","139.00","143.25","133.50","152.36M","-0.63%"
"10/27/2020","135.65","134.15","136.75","130.85","56.86M","1.46%"
"10/26/2020","133.70","138.40","140.80","131.25","88.53M","-2.41%"
"10/23/2020","137.00","134.90","138.90","134.10","68.71M","2.62%"
"10/22/2020","133.50","129.70","134.60","128.45","48.81M","2.50%"
"10/21/2020","130.25","131.05","133.10","128.30","39.25M","0.46%"
"10/20/2020","129.65","128.10","130.30","126.35","27.47M","1.09%"
"10/19/2020","128.25","129.80","130.40","127.80","33.16M","0.39%"
"10/16/2020","127.75","129.40","130.05","126.00","62.55M","0.63%"
"10/15/2020","126.95","131.50","134.35","126.50","64.00M","-2.87%"
"10/14/2020","130.70","133.75","134.65","128.80","45.79M","-2.54%"
"10/13/2020","134.10","135.40","137.10","132.85","38.97M","-1.32%"
"10/12/2020","135.90","139.65","139.65","133.00","39.28M","-1.84%"
"10/09/2020","138.45","141.15","142.65","138.00","37.10M","-1.77%"
"10/08/2020","140.95","142.85","143.50","139.60","40.94M","-0.04%"
"10/07/2020","141.00","144.25","144.50","139.80","68.27M","-2.59%"
"10/06/2020","144.75","138.00","145.80","136.00","162.05M","8.10%"
"10/05/2020","133.90","136.95","137.50","132.05","55.27M","0.30%"
"10/01/2020","133.50","135.90","136.50","132.55","40.49M","0.15%"
"09/30/2020","133.30","131.55","134.40","130.30","48.86M","1.21%"
"09/29/2020","131.70","134.95","136.00","130.70","63.37M","-0.87%"
"09/28/2020","132.85","128.90","134.30","127.50","61.83M","4.40%"
"09/25/2020","127.25","123.70","128.35","123.10","65.04M","3.62%"
"09/24/2020","122.80","127.90","128.80","122.15","62.42M","-6.54%"
"09/23/2020","131.40","135.50","136.70","127.90","74.98M","-1.28%"
"09/22/2020","133.10","138.00","138.15","129.65","87.30M","-3.16%"
"09/21/2020","137.45","147.75","147.75","135.50","64.74M","-7.07%"
"09/18/2020","147.90","148.70","150.50","146.25","46.27M","0.17%"
"09/17/2020","147.65","150.80","151.00","146.20","48.12M","-2.51%"
"09/16/2020","151.45","149.20","154.30","148.55","85.06M","2.06%"
"09/15/2020","148.40","149.40","149.40","146.55","42.89M","-0.10%"
"09/14/2020","148.55","147.20","151.10","145.50","84.51M","2.95%"
"09/11/2020","144.30","143.10","146.80","141.65","65.14M","0.70%"
"09/10/2020","143.30","142.80","144.50","138.00","79.61M","2.28%"
"09/09/2020","140.10","141.00","141.75","135.70","105.36M","-1.55%"
"09/08/2020","142.30","149.45","149.60","141.20","76.30M","-4.75%"
"09/07/2020","149.40","150.00","152.00","148.00","82.62M","1.08%"
"09/04/2020","147.80","147.90","153.65","147.00","95.57M","-2.67%"
"09/03/2020","151.85","151.60","155.20","149.55","110.16M","1.03%"
"09/02/2020","150.30","144.30","151.65","141.45","74.95M","4.52%"
"09/01/2020","143.80","143.40","145.15","140.40","58.81M","0.42%"
"08/31/2020","143.20","144.50","147.95","138.20","160.56M","0.28%"
"08/28/2020","142.80","144.15","146.20","140.50","95.20M","-1.01%"
"08/27/2020","144.25","140.10","146.85","139.30","181.38M","4.60%"
"08/26/2020","137.90","130.50","139.00","128.35","197.52M","8.50%"
"08/25/2020","127.10","121.80","128.35","121.10","90.27M","4.87%"
"08/24/2020","121.20","122.00","123.00","120.80","31.30M","0.25%"
"08/21/2020","120.90","124.20","124.20","120.15","48.65M","-0.66%"
"08/20/2020","121.70","123.45","125.65","121.10","43.53M","-2.76%"
"08/19/2020","125.15","127.00","127.60","124.75","45.13M","-0.36%"
"08/18/2020","125.60","124.00","127.50","123.60","62.15M","1.66%"
"08/17/2020","123.55","124.50","126.25","120.60","61.15M","-0.84%"
"08/14/2020","124.60","131.15","132.65","123.70","75.03M","-4.99%"
"08/13/2020","131.15","126.10","131.90","124.40","95.49M","4.63%"
"08/12/2020","125.35","121.00","126.40","120.60","50.72M","2.49%"
"08/11/2020","122.30","125.00","125.80","121.40","50.23M","-1.25%"
"08/10/2020","123.85","119.95","124.70","119.70","71.10M","3.99%"
"08/07/2020","119.10","117.00","119.70","116.00","56.49M","1.97%"
"08/06/2020","116.80","116.20","117.70","115.50","60.09M","1.21%"
"08/05/2020","115.40","112.40","117.65","112.00","99.37M","3.54%"
"08/04/2020","111.45","112.95","115.10","110.80","95.91M","-1.42%"
"08/03/2020","113.05","103.00","114.40","102.90","194.77M","8.03%"
"07/31/2020","104.65","104.00","105.40","102.30","33.81M","0.96%"
"07/30/2020","103.65","106.40","106.75","102.85","33.38M","-1.99%"
"07/29/2020","105.75","108.10","108.75","104.85","44.56M","-0.66%"
"07/28/2020","106.45","102.30","107.20","102.00","64.27M","4.67%"
"07/27/2020","101.70","104.00","104.50","101.30","29.65M","-1.98%"
"07/24/2020","103.75","104.70","105.50","102.70","39.37M","-2.17%"
"07/23/2020","106.05","105.45","106.45","104.70","30.72M","0.86%"
"07/22/2020","105.15","108.50","109.75","104.25","50.74M","-3.04%"
"07/21/2020","108.45","106.00","109.70","105.50","66.01M","3.24%"
"07/20/2020","105.05","106.35","106.35","103.85","39.79M","-1.27%"
"07/17/2020","106.40","103.65","106.95","103.30","42.08M","3.35%"
"07/16/2020","102.95","103.95","103.95","100.60","44.33M","-0.24%"
"07/15/2020","103.20","106.80","106.80","102.50","49.69M","-1.85%"
"07/14/2020","105.15","106.90","107.55","104.10","46.93M","-2.64%"
"07/13/2020","108.00","108.85","112.10","106.85","81.90M","0.37%"
"07/10/2020","107.60","106.70","108.60","105.40","64.69M","0.61%"
"07/09/2020","106.95","106.30","108.95","104.65","54.49M","1.52%"
"07/08/2020","105.35","109.50","110.85","104.20","55.89M","-3.39%"
"07/07/2020","109.05","109.80","112.60","108.05","85.84M","0.05%"
"07/06/2020","109.00","105.00","109.90","104.50","91.97M","5.36%"
"07/03/2020","103.45","102.85","106.35","102.10","87.31M","1.87%"
"07/02/2020","101.55","100.75","102.95","100.40","48.09M","0.79%"
"07/01/2020","100.75","99.00","101.45","98.20","50.87M","2.54%"
"06/30/2020","98.25","101.75","102.30","97.30","50.77M","-1.21%"
"06/29/2020","99.45","101.40","101.40","98.05","43.28M","-1.92%"
"06/26/2020","101.40","105.40","106.05","100.35","56.33M","-2.31%"
"06/25/2020","103.80","103.85","106.30","101.65","63.20M","-0.95%"
"06/24/2020","104.80","105.25","110.80","104.20","125.46M","0.38%"
"06/23/2020","104.40","103.00","106.00","101.90","68.64M","1.70%"
"06/22/2020","102.65","102.35","104.90","101.00","68.55M","0.15%"
"06/19/2020","102.50","96.50","103.90","95.60","135.46M","6.38%"
"06/18/2020","96.35","95.00","97.20","94.15","58.96M","1.00%"
"06/17/2020","95.40","93.00","96.40","91.80","110.83M","0.69%"
"06/16/2020","94.75","102.00","103.50","92.00","215.48M","-5.72%"
"06/15/2020","100.50","104.65","104.65","100.05","69.32M","-4.56%"
"06/12/2020","105.30","98.00","106.25","98.00","93.00M","-0.80%"
"06/11/2020","106.15","109.90","111.15","105.00","55.49M","-4.71%"
"06/10/2020","111.40","111.00","113.00","108.50","84.04M","-0.04%"
"06/09/2020","111.45","117.45","117.90","110.25","79.47M","-3.46%"
"06/08/2020","115.45","114.00","119.15","113.35","136.95M","4.24%"
"06/05/2020","110.75","100.45","112.45","99.05","187.21M","12.44%"
"06/04/2020","98.50","99.00","101.40","96.80","72.08M","-0.25%"
"06/03/2020","98.75","100.00","101.45","97.40","90.60M","2.33%"
"06/02/2020","96.50","90.00","97.30","89.75","125.41M","7.76%"
"06/01/2020","89.55","88.90","91.20","88.00","71.08M","2.93%"
"05/29/2020","87.00","85.55","87.50","84.65","80.82M","0.00%"
"05/28/2020","87.00","86.00","88.15","84.55","96.18M","2.90%"
"05/27/2020","84.55","84.10","86.00","84.00","57.96M","1.74%"
"05/26/2020","83.10","83.90","85.70","82.60","38.02M","0.36%"
"05/22/2020","82.80","83.40","83.90","82.00","29.25M","-1.55%"
"05/21/2020","84.10","83.10","85.20","82.90","37.29M","0.78%"
"05/20/2020","83.45","81.25","84.40","80.70","36.35M","2.02%"
"05/19/2020","81.80","82.50","85.65","81.50","65.38M","1.43%"
"05/18/2020","80.65","84.50","84.50","79.60","44.22M","-4.39%"
"05/15/2020","84.35","84.70","85.35","82.80","38.59M","0.66%"
"05/14/2020","83.80","83.95","85.30","82.55","46.34M","-3.90%"
"05/13/2020","87.20","92.50","92.50","86.25","68.09M","1.16%"
"05/12/2020","86.20","85.95","87.70","83.50","77.55M","0.12%"
"05/11/2020","86.10","81.45","90.65","81.40","152.59M","6.23%"
"05/08/2020","81.05","84.50","84.95","80.55","35.36M","-1.76%"
"05/07/2020","82.50","82.90","84.65","82.10","31.16M","-0.84%"
"05/06/2020","83.20","81.55","83.95","80.35","53.74M","2.84%"
"05/05/2020","80.90","86.00","86.80","80.40","57.12M","-3.58%"
"05/04/2020","83.90","87.00","87.20","81.50","91.17M","-10.03%"
"04/30/2020","93.25","85.95","93.75","85.95","170.65M","19.32%"
"04/29/2020","78.15","77.45","79.30","76.55","40.79M","1.56%"
"04/28/2020","76.95","75.65","78.20","75.20","34.83M","2.26%"
"04/27/2020","75.25","75.90","76.20","74.80","27.84M","1.42%"
"04/24/2020","74.20","75.00","76.90","74.00","40.05M","-1.92%"
"04/23/2020","75.65","76.75","78.65","75.40","50.37M","-0.33%"
"04/22/2020","75.90","74.45","76.55","72.55","56.53M","1.67%"
"04/21/2020","74.65","78.00","78.00","74.00","58.25M","-7.21%"
"04/20/2020","80.45","76.85","83.40","75.50","125.43M","4.68%"
"04/17/2020","76.85","78.30","78.30","74.70","58.34M","2.95%"
"04/16/2020","74.65","71.75","75.40","71.00","47.91M","2.40%"
"04/15/2020","72.90","75.40","78.70","71.95","81.13M","-1.82%"
"04/13/2020","74.25","76.00","77.60","72.70","70.41M","-0.47%"
"04/09/2020","74.60","69.60","76.25","69.10","112.68M","10.36%"
"04/08/2020","67.60","66.50","71.60","65.40","82.18M","0.52%"
"04/07/2020","67.25","68.55","69.30","66.90","42.07M","2.99%"
"04/03/2020","65.30","66.90","66.90","64.80","35.35M","-3.90%"
"04/01/2020","67.95","70.50","71.65","67.55","38.17M","-4.36%"
"03/31/2020","71.05","70.60","71.50","68.20","46.17M","4.26%"
"03/30/2020","68.15","68.80","70.00","67.25","35.28M","-3.61%"
"03/27/2020","70.70","72.05","75.90","69.35","58.82M","-0.14%"
"03/26/2020","70.80","71.45","73.50","68.30","63.82M","0.78%"
"03/25/2020","70.25","67.75","71.70","67.25","57.72M","2.48%"
"03/24/2020","68.55","69.90","71.50","63.50","49.55M","3.55%"
"03/23/2020","66.20","70.00","72.00","66.00","34.18M","-14.36%"
"03/20/2020","77.30","74.00","79.60","72.65","86.04M","5.96%"
"03/19/2020","72.95","70.00","76.50","68.75","68.12M","-3.38%"
"03/18/2020","75.50","79.90","80.45","75.10","70.13M","-3.14%"
"03/17/2020","77.95","83.05","85.00","77.40","71.85M","-6.03%"
"03/16/2020","82.95","85.60","87.65","82.20","73.71M","-7.58%"
"03/13/2020","89.75","81.90","94.15","78.05","106.15M","1.99%"
"03/12/2020","88.00","91.10","94.90","84.10","143.55M","-11.02%"
"03/11/2020","98.90","104.85","106.50","97.80","111.15M","-6.43%"
"03/09/2020","105.70","109.00","109.85","104.25","81.55M","-7.44%"
"03/06/2020","114.20","115.00","117.30","112.80","83.97M","-9.18%"
"03/05/2020","125.75","127.55","129.15","124.25","87.80M","-0.36%"
"03/04/2020","126.20","129.60","129.60","120.55","97.55M","-3.18%"
"03/03/2020","130.35","127.50","131.40","125.25","86.77M","3.95%"
"03/02/2020","125.40","133.00","133.90","123.80","111.59M","-2.75%"
"02/28/2020","128.95","138.85","139.60","127.05","94.47M","-11.22%"
"02/27/2020","145.25","144.15","146.75","141.10","51.33M","0.48%"
"02/26/2020","144.55","146.90","147.90","143.70","47.61M","-3.57%"
"02/25/2020","149.90","152.20","153.40","147.45","52.72M","-0.50%"
"02/24/2020","150.65","154.00","155.90","149.60","39.71M","-4.95%"
"02/20/2020","158.50","157.95","162.30","156.00","54.33M","0.28%"
"02/19/2020","158.05","162.85","164.60","153.05","78.91M","-2.20%"
"02/18/2020","161.60","168.00","168.00","158.60","52.74M","-4.44%"
"02/17/2020","169.10","170.40","171.35","166.35","32.89M","0.00%"
"02/14/2020","169.10","172.00","176.20","168.30","56.68M","-0.24%"
"02/13/2020","169.50","171.35","172.35","168.10","25.05M","-0.85%"
"02/12/2020","170.95","173.00","173.30","169.00","34.62M","0.71%"
"02/11/2020","169.75","171.85","175.15","168.40","42.87M","0.50%"
"02/10/2020","168.90","173.20","173.20","168.00","33.28M","-2.71%"
"02/07/2020","173.60","177.40","178.15","173.00","45.20M","-2.94%"
"02/06/2020","178.85","182.00","183.40","175.75","61.82M","-2.67%"
"02/05/2020","183.75","167.40","184.95","166.60","92.98M","10.89%"
"02/04/2020","165.70","166.55","168.60","161.20","49.03M","1.13%"
"02/03/2020","163.85","163.50","168.30","159.55","66.62M","-1.06%"
"02/01/2020","165.60","175.00","178.70","163.80","42.52M","-6.23%"
"01/31/2020","176.60","186.30","188.35","175.95","75.62M","-5.16%"
"01/30/2020","186.20","190.95","192.55","184.25","70.90M","-0.98%"
"01/29/2020","188.05","178.80","188.90","178.55","61.59M","6.79%"
"01/28/2020","176.10","183.90","184.30","174.90","38.28M","-3.35%"
"01/27/2020","182.20","185.70","186.90","180.85","30.13M","-2.31%"
"01/24/2020","186.50","188.00","191.00","185.00","21.79M","-1.01%"
"01/23/2020","188.40","186.75","190.40","183.80","33.03M","1.51%"
"01/22/2020","185.60","191.95","192.50","184.25","32.95M","-3.03%"
"01/21/2020","191.40","195.50","196.40","190.20","20.86M","-1.85%"
"01/20/2020","195.00","198.00","201.45","194.30","28.98M","-1.17%"
"01/17/2020","197.30","197.25","199.45","195.70","18.20M","-0.13%"
"01/16/2020","197.55","199.50","200.60","196.90","28.12M","-1.40%"
"01/15/2020","200.35","195.00","201.70","194.00","38.49M","2.30%"
"01/14/2020","195.85","195.70","198.25","193.60","29.87M","-0.20%"
"01/13/2020","196.25","194.75","197.75","191.40","40.54M","-0.05%"
"01/10/2020","196.35","192.00","199.00","190.00","60.25M","2.27%"
"01/09/2020","192.00","184.85","192.75","184.25","40.80M","5.18%"
"01/08/2020","182.55","180.20","184.20","180.20","21.86M","-1.16%"
"01/07/2020","184.70","187.00","189.40","182.30","35.00M","-0.51%"
"01/06/2020","185.65","191.00","191.00","185.05","28.62M","-2.85%"
"01/03/2020","191.10","192.90","195.65","189.25","47.57M","-1.37%"
"01/02/2020","193.75","185.00","194.70","184.60","57.29M","5.04%"
"01/01/2020","184.45","185.15","186.70","183.60","25.97M","-0.38%"
"12/31/2019","185.15","184.00","187.90","181.55","52.87M","0.79%"
"12/30/2019","183.70","177.20","184.35","176.30","40.95M","4.29%"
"12/27/2019","176.15","176.00","176.95","174.85","12.10M","0.89%"
"12/26/2019","174.60","175.90","176.45","174.10","18.79M","-0.51%"
"12/24/2019","175.50","177.65","178.00","174.65","20.56M","-0.31%"
"12/23/2019","176.05","176.85","179.00","174.15","27.19M","0.06%"
"12/20/2019","175.95","180.40","181.70","174.85","48.82M","-1.79%"
"12/19/2019","179.15","174.65","180.20","174.00","53.47M","2.49%"
"12/18/2019","174.80","182.10","184.50","170.45","63.86M","-3.00%"
"12/17/2019","180.20","176.00","181.15","175.35","38.21M","3.00%"
"12/16/2019","174.95","177.00","178.80","173.35","26.25M","-0.99%"
"12/13/2019","176.70","177.25","183.95","175.50","93.02M","1.93%"
"12/12/2019","173.35","163.45","174.90","162.50","66.14M","7.14%"
"12/11/2019","161.80","160.40","163.00","157.40","21.15M","1.31%"
"12/10/2019","159.70","162.15","163.25","159.05","26.26M","-0.50%"
"12/09/2019","160.50","162.00","166.45","159.75","30.92M","-0.62%"
"12/06/2019","161.50","167.00","168.00","160.05","27.73M","-2.77%"
"12/05/2019","166.10","170.35","172.20","165.20","31.79M","-1.95%"
"12/04/2019","169.40","158.50","170.35","157.70","72.08M","7.08%"
"12/03/2019","158.20","162.95","162.95","157.40","21.16M","-1.77%"
"12/02/2019","161.05","160.95","163.00","158.95","19.44M","-0.28%"
"11/29/2019","161.50","164.80","167.75","160.60","20.01M","-2.00%"
"11/28/2019","164.80","165.75","166.30","163.55","16.61M","-0.66%"
"11/27/2019","165.90","165.30","169.30","165.00","29.53M","1.53%"
"11/26/2019","163.40","166.65","167.30","162.55","25.52M","-1.63%"
"11/25/2019","166.10","160.70","166.60","159.90","26.13M","2.31%"
"11/22/2019","162.35","164.90","165.25","160.55","21.20M","-1.10%"
"11/21/2019","164.15","166.95","170.10","163.00","21.61M","-1.94%"
"11/20/2019","167.40","167.75","170.20","166.20","19.50M","-0.21%"
"11/19/2019","167.75","170.80","171.75","167.10","19.60M","-1.38%"
"11/18/2019","170.10","172.10","172.10","169.25","19.05M","0.92%"
"11/15/2019","168.55","169.00","173.40","167.35","29.61M","0.90%"
"11/14/2019","167.05","170.20","170.30","165.50","25.43M","-2.08%"
"11/13/2019","170.60","171.50","176.00","169.40","33.93M","-0.81%"
"11/11/2019","172.00","169.20","172.95","169.05","22.19M","1.75%"
"11/08/2019","169.05","170.75","178.90","167.80","39.10M","-1.43%"
"11/07/2019","171.50","174.70","174.70","167.60","38.63M","-1.72%"
"11/06/2019","174.50","172.00","176.35","170.50","28.92M","1.45%"
"11/05/2019","172.00","173.25","175.75","169.95","36.27M","-0.12%"
"11/04/2019","172.20","171.60","178.45","170.85","40.64M","-1.63%"
"11/01/2019","175.05","175.20","178.00","172.40","40.61M","-1.49%"
"10/31/2019","177.70","169.80","179.65","168.95","81.39M","3.37%"
"10/30/2019","171.90","175.00","175.65","166.55","90.76M","-0.32%"
"10/29/2019","172.45","151.90","175.50","151.20","184.44M","16.76%"
"10/27/2019","147.70","147.70","147.70","147.70","","16.44%"
